"","CustomerID","ProdTaken","Age","TypeofContact","CityTier","DurationOfPitch","Occupation","Gender","NumberOfPersonVisiting","NumberOfFollowups","ProductPitched","PreferredPropertyStar","MaritalStatus","NumberOfTrips","Passport","PitchSatisfactionScore","OwnCar","NumberOfChildrenVisiting","Designation","MonthlyIncome"
"1",204662,1,27,"Company Invited",3,36,"Small Business","Male",4,6,"Deluxe",5,"Unmarried",2,0,3,1,2,"Manager",23647
"2",200647,0,35,"Self Enquiry",1,31,"Large Business","Male",3,4,"Standard",4,"Divorced",4,0,3,1,1,"Senior Manager",25903
"3",204248,0,46,"Self Enquiry",1,15,"Salaried","Male",4,4,"Deluxe",3,"Married",2,0,3,1,1,"Manager",22375
"4",202628,0,54,"Self Enquiry",1,20,"Small Business","Female",3,3,"Deluxe",5,"Married",3,0,2,1,2,"Manager",23128
"5",203799,0,37,"Self Enquiry",3,24,"Small Business","Male",3,5,"Deluxe",4,"Married",4,0,4,1,1,"Manager",24185
"6",204667,0,40,"Company Invited",1,29,"Small Business","Female",3,4,"Standard",5,"Single",3,1,5,1,2,"Senior Manager",29558
"7",203822,0,43,"Self Enquiry",3,19,"Small Business","Male",4,4,"Deluxe",3,"Married",5,1,1,0,1,"Manager",23765
"8",200602,0,30,"Self Enquiry",1,8,"Small Business","Female",2,4,"Deluxe",3,"Unmarried",6,1,2,1,1,"Manager",21877
"9",202006,0,60,"Self Enquiry",3,22,"Small Business","Male",2,3,"Deluxe",5,"Single",1,0,4,1,1,"Manager",20405
"10",201079,0,39,"Self Enquiry",1,12,"Salaried","Female",2,3,"Standard",4,"Unmarried",5,0,3,0,1,"Senior Manager",23376
"11",203635,0,32,"Self Enquiry",3,12,"Salaried","Female",4,4,"Deluxe",3,"Married",3,0,1,0,3,"Manager",24154
"12",201466,0,39,"Self Enquiry",1,12,"Small Business","Male",2,4,"Standard",5,"Married",5,0,4,1,0,"Senior Manager",24991
"13",203851,0,25,"Self Enquiry",1,7,"Salaried","Male",3,5,"Deluxe",3,"Unmarried",3,0,3,1,2,"Manager",23295
"14",203000,0,54,"Self Enquiry",1,13,"Salaried","Male",3,4,"Deluxe",3,"Single",4,0,5,1,1,"Manager",21128
